eval	acc	mcc	tp	fp	fn	tn
1e-20	0.9999245461992843	0.9380477407330723	154	0	21	278141
1e-19	0.9999532905043188	0.9621179869868357	162	0	13	278141
1e-18	0.9999640696187068	0.9709908576008475	165	0	10	278141
1e-17	0.9999712556949655	0.976861437224839	167	0	8	278141
1e-16	0.9999748487330947	0.9797835680394834	168	0	7	278141
1e-15	0.9999820348093534	0.9856019018156688	170	0	5	278141
1e-14	0.9999820348093534	0.9856019018156688	170	0	5	278141
1e-13	0.9999928139237414	0.9942657191129669	173	0	2	278141
1e-12	0.9999928139237414	0.9942657191129669	173	0	2	278141
1e-11	0.9999928139237414	0.9942657191129669	173	0	2	278141
1e-10	0.9999928139237414	0.9942657191129669	173	0	2	278141
1e-09	0.9999928139237414	0.9942657191129669	173	0	2	278141
1e-08	0.9999928139237414	0.9942657191129669	173	0	2	278141
1e-07	0.9999820348093534	0.985750003199395	173	3	2	278138
1e-06	0.9999856278474827	0.9886451518203463	174	3	1	278138
1e-05	0.999989220885612	0.991531877099339	175	3	0	278138
0.0001	0.9999461044280602	0.9596889911256704	175	15	0	278126
0.001	0.99962991707268	0.7932611741597771	175	103	0	278038
0.01	0.9968129751792926	0.405287463656965	175	887	0	277254
0.1	0.9919515945903218	0.26810479925814257	175	2240	0	275901
1.0	0.9919048850946406	0.2673797929811829	175	2253	0	275888
